#  Contiguous U.S. Palmer Z-Index
Date,Value
194404,3.15
194405,-0.36
194406,0.47
194407,-0.83
194408,1.05
194409,-0.36
194410,-2.41
194411,0.65
194412,-0.78
194501,-1.37
194502,2.17
194503,0.63
194504,2
194505,0.72
194506,2.47
194507,2.55
194508,1.27
194509,3.07
194510,-0.07
194511,0.51
194512,1.78
194601,2.47
194602,0.24
194603,-1.15
194604,-3.6
194605,2.51
194606,0.2
194607,0.13
194608,0.37
194609,0.63
194610,1.94
194611,2.88
194612,0.9
194701,2.23
194702,-2.44
194703,-0.1
194704,1.63
194705,0.91
194706,3.43
194707,-0.39
194708,-0.68
194709,-1.43
194710,-0.95
194711,1.53
194712,-0.54
194801,-0.59
194802,1.89
194803,2.16
194804,-0.6
194805,-0.31
194806,0.96
194807,1.4
194808,-0.64
194809,-2.28
194810,-1.32
194811,2.51
194812,1.33
194901,3.62
194902,1.49
194903,0.01
194904,-1.43
194905,-0.3
194906,0.75
194907,1.08
194908,-0.08
194909,-0.38
194910,1.88
194911,-3.06
194912,-1.3
195001,1.64
195002,0.64
195003,0.56
195004,-0.27
195005,0.3
195006,0.05
195007,4.15
195008,1.83
195009,1.41
195010,-1.23
195011,0.23
195012,-0.37
195101,0.51
195102,0.89
195103,0.97
195104,0.11
195105,-1.65
195106,2.17
195107,0.78
195108,0.43
195109,0.58
195110,0.6
195111,1.37
195112,2.83
195201,2.34
195202,-0.02
195203,2.18
195204,-0.39
195205,-0.68
195206,-2.64
195207,-2.31
195208,-1.13
195209,-3.34
195210,-4.1
195211,-1.14
195212,-1.53
195301,-0.99
195302,0.1
195303,-0.43
195304,2.21
195305,1.48
195306,-1.37
195307,-0.42
195308,-1.21
195309,-3.37
195310,-2.35
195311,-2.62
195312,-1.92
195401,-1.25
195402,-2.6
195403,-0.56
195404,-1.3
195405,0.1
195406,-1.12
195407,-2.76
195408,-1.23
195409,-2.27
195410,0.3
195411,-2.98
195412,-2.95
195501,-3.88
195502,-1.7
195503,-1.32
195504,-0.56
195505,-0.3
195506,-0.51
195507,0.3
195508,-0.06
195509,-1.42
195510,-0.51
195511,-0.77
195512,-1.05
195601,-0.73
195602,2.11
195603,-2.03
195604,-0.54
195605,-1.39
195606,-2.53
195607,-1.09
195608,-1.85
195609,-3.32
195610,-1.08
195611,-3.15
195612,-3.71
195701,-3.55
195702,-2.95
195703,-0.01
195704,3.57
195705,4.05
195706,2.31
195707,-0.06
195708,-1.03
195709,1.29
195710,2.39
195711,3.33
195712,2.2
195801,1.98
195802,1.58
195803,1.35
195804,1.95
195805,-2.04
195806,0.97
195807,3.35
195808,-0.05
195809,0.96
195810,-1.65
195811,-0.57
195812,-2.78
195901,-1.84
195902,0.85
195903,-1.2
195904,-1.11
195905,0.66
195906,-1.13
195907,0.47
195908,0.29
195909,1.02
195910,3.97
195911,0.42
195912,0.96
196001,1.58
196002,2.03
196003,0.06
196004,-1.44
196005,0.33
196006,-0.62
196007,-0.19
196008,0.61
196009,-1.26
196010,0.55
196011,-0.81
196012,-1.43
196101,-2.67
196102,1.19
196103,1.38
196104,0.36
196105,0.52
196106,-0.09
196107,1.44
196108,0.4
196109,1.89
196110,-0.71
196111,1.09
196112,1.4
196201,1.31
196202,1.61
196203,-0.27
196204,-1.32
196205,-1.32
196206,1.14
196207,1
196208,-1.43
196209,1.09
196210,0.03
196211,-0.94
196212,-2.37
196301,-3.1
196302,-2.06
196303,-0.83
196304,-0.75
196305,-1.77
196306,0.03
196307,-0.59
196308,-1.15
196309,-1.38
196310,-4.75
196311,-0.36
196312,-3.11
196401,-1.78
196402,-1.6
196403,1.58
196404,2.28
196405,-2.24
196406,-0.22
196407,-1.25
196408,0.75
196409,0.47
196410,-1.96
196411,-0.36
196412,1.61
196501,1.19
196502,0.78
196503,0.27
196504,-0.12
196505,-0.7
196506,1.6
196507,0.83
196508,1.43
196509,4.17
196510,-1.64
196511,-1.04
196512,-0.93
196601,-0.16
196602,1.32
196603,-3.27
196604,0.47
196605,-1.81
196606,-1.75
196607,-2.37
196608,1.11
196609,-0.15
196610,-0.95
196611,-1.65
196612,-1.03
196701,-1.38
196702,-1.38
196703,-2.5
196704,0.62
196705,1.22
196706,2.47
196707,2.18
196708,1.13
196709,0.55
196710,0.84
196711,-1.02
196712,1.88
196801,1.36
196802,-1.21
196803,-1.74
196804,0.17
196805,2.05
196806,0.84
196807,1.14
196808,1.93
196809,0.02
196810,-0.12
196811,1.85
196812,2.36
196901,3.69
196902,0.95
196903,-0.68
196904,-0.15
196905,-1.08
196906,1.78
196907,1.39
196908,-0.81
196909,-0.71
196910,2.37
196911,-1.11
196912,1.46
197001,0.87
197002,-1.05
197003,1.19
197004,1.49
197005,-1.08
197006,-0.38
197007,-1.43
197008,-1.68
197009,1.62
197010,2.49
197011,0.41
197012,0.39
197101,0.31
197102,1.29
197103,-0.91
197104,-1.46
197105,0.87
197106,-1.17
197107,1.1
197108,0.91
197109,1.31
197110,1.46
197111,0.06
197112,2.62
197201,2.08
197202,-0.35
197203,-1.97
197204,-0.49
197205,0.08
197206,0.81
197207,1.4
197208,0.88
197209,1.06
197210,2.33
197211,3.69
197212,4.58
197301,2.43
197302,0.11
197303,3.73
197304,3.28
197305,0.77
197306,0.47
197307,1.29
197308,-1.35
197309,3.04
197310,0.24
197311,2.42
197312,3.16
197401,4.02
197402,-0.83
197403,-0.53
197404,0.08
197405,0.48
